payment_term_id,Old Payment Terms Name,Proposed Payment Terms,days
125,"50% advance along with PO,40% against PI prior to dispatch of material and 10% on commissioning",Disable,0
44,50% advance along with the order and balance payment against Proforma invoice,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
41,50% advance and 50% after delivery,50% Advance Against Proforma Invoice and 50% After Delivery,0
56,50% Advance and 50% against PI,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
71,50% advance and 50% at the time of delivery,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
85,50% advance and balance 50% PDC of 30 days from the date of invoice,BT,0
84,50% advance and balance 50% PDC of 30 days from the date of PO,BT,0
78,50% advance balance against collection,50% Advance Against Proforma Invoice and 50% After Delivery,0
72,50% advance with order and balance 50 % before despatch of material,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
46,50% Against PI,50% Advance Against Proforma Invoice and 50% After Delivery,0
47,50% against Pi & 50% against delivery 30 days PDC,50% Advance Against Proforma Invoice and 50% on 45 day(s) After Delivery,45
1,50% Against PI and 50% after 45 Days,50% Advance Against Proforma Invoice and 50% on 45 day(s) After Delivery,45
129,50% against PI and 50% after dispatch,50% Advance Against Proforma Invoice and 50% After Delivery,0
112,50% along with Po and 50% after 6 month,50% Advance Against Proforma Invoice and 50% on 180 day(s) After Delivery,180
106,50% along with the order 50% against delivery before installation,Disable,0
16,60 days after delivery,100% on 60 day(s) After Delivery,60
92,60 days credit from the receipt of full lot of 175MT at Kalamboli,Disable,0
81,60 days from date of Invoice,100% on 75 day(s) After Delivery,75
80,60% advance against PI and balance after delivery,60% Advance Against Proforma Invoice and 40% After Delivery,0
36,60% advance and 40% after delivery,60% Advance Against Proforma Invoice and 40% After Delivery,0
131,60% Advance and 40% Before Delivery,60% Advance Against Proforma Invoice and 40% On Material Readiness,0
11,7 days after delivery,100% on 7 day(s) After Delivery,7
76,7 Days Credit,100% on 7 day(s) After Delivery,7
19,7 Days PDC,7 day(s) PDC After Delivery,7
63,70% advance and 30% against delivery after 7 days,70% Advance Against Proforma Invoice and 30% on 7 day(s) After Delivery,7
115,70% against Pi and 10% after delivery,Disable,0
116,70% against Pi and 10% after delivery - pls add payment trm,Disable,0
17,75 days after delivery,100% on 75 day(s) After Delivery,75
5,75% advance 25% on delivery,75% Advance Against Proforma Invoice and 25% After Delivery,0
68,75% with PI and 25% before delivery,75% Advance Against Proforma Invoice and 25% On Material Readiness,0
135,80% Advance and 20% after delivery,80% Advance Against Proforma Invoice and 20% After Delivery,0
118,"80% against supply, 20% against installation/commisssioning",Disable,0
114,"80% on acceptance & inspection of material by GAIL, Balance 20% after demonstration by GAIL",Disable,0
18,90 days after delivery,100% on 90 day(s) After Delivery,90
119,90 Days PDC,90 day(s) PDC After Delivery,90
107,90 Days PDC -Chq Dt. 02 May 2018,90 day(s) PDC After Delivery,90
117,90% advance and 10% against bank guarantee,90% Advance Against Proforma Invoice and 10% Against Bank Guarantee,0
53,"90% within 30 days upon receipt of material at site, Balance 10% after 30 days of receipt and final",90% Advance Against Proforma Invoice and 10% After Delivery,0
52,Advance payment when material is ready,100% Advance Against Material Readiness,0
21,as per tendor norms,Disable,0
10,cash on delivery,100% Advance Against Delivery,0
108,Cheque,100% Advance Against Proforma Invoice,0
37,Cheque on delivery,100% Advance Against Delivery,0
55,Immediate,100% Advance Against Proforma Invoice,0
42,Net 30 Days,100% on 30 day(s) After Delivery,30
93,Net 30 days from invoice subject to credit,Disable,0
99,Payment Due on 06-Apr-2018 via PDC.,Disable,0
57,Payment due on 24-Oct-2017; INCOTERMS CIF,Disable,0
98,PDC OF 30 DAYS AGAINST PROFORMA INVOICE,30 day(s) PDC After Delivery,30
88,Rs 10000/- and balance payment against Supply,Disable,0
22,Supply Chain Finance,Disable,0
95,Within 30 Days,100% on 30 day(s) After Delivery,30
