sku,price,name,technical_description,material_code,customer_material_code,lead_time,brand,hsn,tax_percentage,moq,uom,customer_uom,url
,3503.376884,TYRE TYPE COUPING & SPARES,"Short Description :
TYRE TYPE COUPING & SPARES,TYRE TYPE FLEXIBLE COUPLING NO.TC
Technical Specification :
COUPLING TYPE:TYRE TYPE FLEXIBLE COUPLING NO.TC 270
REFERENCE STD. : TS 01011-TYRE TYPE FLEXIBLE COUPLING",,0083A0019,28-42 Days,,8483,18.00%,1,EA,EA,
,5.6,"SIZE AA PENCIL CELL,1.5V","Short Description :
SIZE AA PENCIL CELL,1.5V
===============================
Part No :
TYPE 1015
Make :
APPROVED PANEL
===============================
Additional Specification :
1015,SIZE AA,PENCIL CELL,1.5V",,0957A0119,28-42 Days,,8506,18.00%,1,EA,EA,
,29.155,DURACELL PLUS AAA ALKALINE 1.5V BATTERY,"Short Description :
DURACELL PLUS AAA ALKALINE 1.5V BATTERY
===============================
Part No :
PLUS AAA
MAKE :
DURACELL",,0957A0074,28-42 Days,,8506,18.00%,1,EA,EA,
,11.956,DRY CELL FOR TORCH LIGHT 1.5 V,"Short Description :
DRY CELL FOR TORCH LIGHT 1.5 V
===============================
Part No :
TYPE - 950
Make :
APPROVED PANEL
===============================
Additional Specification :
DRY CELL, 950 ZINC CHLORIDE FOR TORCH LIGHT 1.5 VOLTS",,0957A0117,28-42 Days,,8513,18.00%,1,EA,EA,
,14.014,LEAKPROOF DRYCELL FOR TORCH,"Short Description :
LEAKPROOF DRYCELL FOR TORCH
===============================
Part No :
TYPE 1035
Make :
APPROVED PANEL
===============================
Additional Specification :
1035,ZINC CHLORIDE,LEAK PROOF FOR TORCH,1.5V",,0957A0118,28-42 Days,,8513,18.00%,1,EA,EA,
,13.622,"""DURACELL ALKALINE CELL,1.5 VOLTS,SIZE:A","Short Description :
DURACELL ALKALINE CELL,1.5 VOLTS,SIZE:AAA
-
Part No. : MN2400LR03
Make : DURACELL",,0957A0057,28-42 Days,,8506,18.00%,1,EA,EA,
,156.61,Lithium Battery 3V (CR 123A),"Short Description :
Lithium Battery 3V (CR 123A)
===============================
Part No :
CR 123 OR CR123A
Make :
Panasonic
===============================",,2519A0004,28-42 Days,,8506,18.00%,1,EA,EA,
,4044.46,"2 VOLT, 64 AH, PLANTE BATTERY","Short Description :
""2 VOLT, 64 AH, PLANTE BATTERY""
-
Part No.: YAP 17
Make : EXIDE",,0959A0131,28-42 Days,,8507,18.00%,1,EA,EA,
,89.18,HYDROMETER SYRINGE TYPE,"Short Description :
HYDROMETER SYRINGE TYPE,UNIFORM DIVISION OF 20,SUB DIVISION
Technical Specification :
LENGTH:57MM.
INDICATION : 1.13 TO 1.23
GRADUATION : UNIFORM DIVISION OF 20,SUB DIVISION 10
USE : BATTERY SP.GRAVITY CHACKING",,0384A0002,28-42 Days,,9031,18.00%,1,EA,EA,
,430,"FLEX.CABLE,1KV,CU,70X1C,HRE INSULN.","Short Description :
FLEX.CABLE,1KV,CU,70X1C,HRE INSULN.
===============================
Technical Specification :
NOMINAL AREA:00070.000 SQ.MM.
CORE TYPE:1
CONDUCTOR MATERIAL:STRANDED COPPER CL5,IS 8130
INSULATION:HR ELASTOMERIC TYPE IE4 TABLE-1 IS6380
===============================
Additional Specification :
SHALL BE SUPPLIED IN DRUMS OF 100 MTR LENGTH",,0217A0042,28-42 Days,,8544,18.00%,1,EA,EA,
,305,"FLEX CABLE,1KV,CU,50X1C,HRE INSULN","Short Description :
FLEX CABLE,1KV,CU,50X1C,HRE INSULN
===============================
Technical Specification :
NOMINAL AREA:00050.000 SQ.MM.
CORE TYPE:1
CONDUCTOR MATERIAL:STRANDED CU CL.5 IS8130
INSULATION:HR ELASTOMERIC TYPE IE4 TABLE-1 IS6380
===============================",,0217A0041,28-42 Days,,8544,18.00%,1,EA,EA,
,112.7,FELECTOR ACTUATOR FOR 2 POSITION,"Short Description :
SELECTOR ACTUATOR FOR 2 POSITION
-
Part No.: 3SB1 200-2AB01
Make : SIEMENS",,0712A0110,28-42 Days,,8536,18.00%,1,EA,EA,
,2665.6,TIMER ELECTRICALLY OPERATED,"Short Description :
PNEUMATIC TIMER OFF-DELAY,1-5SECS.
Make : BCH",,0504A0025,28-42 Days,,9109,18.00%,1,EA,EA,
,151.9,HRC FUSE SIZE 0.,"Short Description :
HRC FUSE SIZE 0.
===============================
Part No :
3NA3820-7Y
MAKE :
SIEMENS",,0877A0333,28-42 Days,,8538,18.00%,1,EA,EA,
,71.54,"MOUNTING CHANNEL FOR ELEMEX,MCB.","Short Description :
MOUNTING CHANNEL FOR ELEMEX,MCB.
===============================
Part No :
5751163
MAKE :
Phoenix
===============================
Additional Specification :
Mounting Rail

Type : NS35/7.5 

Perforated,",,0936A0207,28-42 Days,,8538,18.00%,1,EA,EA,
,261.66,MERLIN GERIN DISTRIBUTION BOARD 4W-4P,"Short Description :
MERLIN GERIN DISTRIBUTION BOARD 4W-4P
-
Part No.: MG322H
Make : MERLIN GERIN",,1122A0026,28-42 Days,,8536,18.00%,1,EA,EA,
,970.2,MOELLER DC CONTROL RELAY 24VDC 2NO 2NC,"Short Description :
MOELLER DC CONTROL RELAY 24VDC 2NO 2NC
===============================
Part No :
DIL-ER-22G,24VDC
Make :
MOELLER
===============================",,0485A0455,28-42 Days,,8536,18.00%,1,EA,EA,
,946,220 VOLT DC RELAY,"Short Description :
220 VOLT DC RELAY
-
Part No.: MODEL-DIL-ER-22G
Make : MOELLER",,0485A0119,28-42 Days,,8536,18.00%,1,EA,EA,
,78.89,CONTACT BLOCK 22 + 30MM TATA DAVY DRG.NO,"Short Description :
CONTACT BLOCK 22 + 30MM TATA DAVY DRG.NO.701537/69
Make : SIEMENS",,0853J0044,28-42 Days,,8536,18.00%,1,EA,EA,
,215.6,"MCB,2 POLE,6 AMPS C CURVE","Short Description :
""MCB,2 POLE,6 AMPS C CURVE""
-
Part No.: C60H2P6AC
Make : MERLIN GERIN",,0256A0127,28-42 Days,,8536,18.00%,1,EA,EA,
,67.62,"ACTUATOR,1NO","Short Description :
""ACTUATOR,1NO""
-
Part No.: 3TX4010-2A
Make : SIEMENS",,0853A0526,28-42 Days,,8536,18.00%,1,EA,EA,
,232.26,"MCB,2 POLE,20AMPS C CURVE","Short Description :
""MCB,2 POLE,20AMPS C CURVE""
-
Part No.: C60H2P20AC
Make : MERLIN GERIN",,0256A0129,28-42 Days,,8536,18.00%,1,EA,EA,
,341.04,"MCB,2 POLE,63AMPS C CURVE","Short Description :
""MCB,2 POLE,63AMPS C CURVE""
-
Part No.: C60H2P63AC
Make : MERLIN GERIN",,0256A0134,28-42 Days,,8536,18.00%,1,EA,EA,
,217.56,"""MULTI 9 MINIATURE CIRCUIT BREAKER,2POLE","Short Description :
MULTI 9 MINIATURE CIRCUIT BREAKER,2POLE 10AMPS.""
Part No. : C60H2P10AC
Make : GROUPE SCHNEIDER",,0256A0020,28-42 Days,,8536,18.00%,1,EA,EA,
,323.4,"MCB,2 POLE,2 AMPS C CURVE","Short Description :
""MCB,2 POLE,2 AMPS C CURVE""
-
Part No.: C60H2P2AC
Make : MERLIN GERIN",,0256A0125,28-42 Days,,8536,18.00%,1,EA,EA,
,280.28,"MCB,2 POLE,4 AMPS C CURVE","Short Description :
""MCB,2 POLE,4 AMPS C CURVE""
-
Part No.: C60H2P4AC
Make : MERLIN GERIN",,0256A0126,28-42 Days,,8536,18.00%,1,EA,EA,
,67.62,#N/A,#N/A,,0853A0527,28-42 Days,,,18.00%,1,EA,EA,
,67.62,CONTACT BLOCK 1NO+1NC 3SB1400-OA,"Short Description :
CONTACT BLOCK 1NO+1NC 3SB1400-OA
-
Part No.: 3SB121400-OA
Make : SIEMENS",,0853A0525,28-42 Days,,8536,18.00%,1,EA,EA,
,462.56,#N/A,#N/A,,0244A0168,28-42 Days,,,18.00%,1,EA,EA,
,4961.25,"""LIMIT SWITCH,2NO+2NC,20A,H/D,STYLE AB/7","Short Description :
LIMIT SWITCH,2NO+2NC,20A,H/D,STYLE AB/76,B/P MOUNTING Q-W
Make : JAI BALAJI",,0380B0038,28-42 Days,,8536,18.00%,1,EA,EA,
,413.56,AUX./FAULT IND. CONTACT FOR NS100/160/25,"Short Description :
AUX./FAULT IND. CONTACT FOR NS100/160/250/400/630
-
Part No.: OF29450
Make : MERLIN GERIN",,0256A0574,28-42 Days,,8536,18.00%,1,EA,EA,
,34.447,CONTACT BLOCK,"Short Description :
CONTACT BLOCK
-
Part No.: 3SB0400-OC
Make : SIEMENS",,0853A0276,28-42 Days,,8536,18.00%,1,EA,EA,
,466.48,"ILLUMINATED PUSH BUTTON,12-30V ,GREEN.","Short Description :
ILLUMINATED PUSH BUTTON,12-30V ,GREEN.
===============================
Part No :
M22DLG+M22A+M22CLED24+M22CK10+M22CK01
Make :
MOELLER.
===============================
Additional Specification :
ILLUMINATED PUSH BUTTON,12-30V AC/DC,COLOUR:GREEN,WITH 2NO+2NC SCREW L
ESS CONNECTION.
PART NO:M22-DL-G+M22-A+M22-CLED24+M22-CK10+M22-CK01.
===============================
Custom Clarification :
Item Description
ILLUMINATED PUSH BUTTON
Function of the Item
USED IN ELECTRICAL CIRCUITS
Material of Construction of the Item
SWITCH GEAR.
Name of the Main Equipment where the Item is Used
OVEN MACHINES (SCP,CTC & QUENCHING LOCO)
Function of the Main Equipment & Location of the Main Equipment
BATTERY OPERATION IN COKE PLANT BATTERY #8&9",,0470A0221,28-42 Days,,8536,18.00%,1,EA,EA,
,30.38,ACTUATOR NORMAL(RED),"Short Description :
ACTUATOR NORMAL(RED)
-
Part No.: 3SB1200 0AC01
Make : SIEMENS",,0853A0471,28-42 Days,,8536,18.00%,1,EA,EA,
,30.38,ACTUATOR NORMAL(GREEN),"Short Description :
ACTUATOR NORMAL(GREEN)
-
Part No.: 3SB1200 0AE01
Make : SIEMENS",,0853A0472,28-42 Days,,8536,18.00%,1,EA,EA,
,324.8994,MERLIN GERIN MCB 3 POLE 32A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 32A C CURVE
-
Part No.: C60H3P32AC
Make : MERLIN GERIN",,0256A0238,28-42 Days,,8536,18.00%,1,EA,EA,
,155,2 32AMPS HRC FUSE,"Short Description :
2 32AMPS HRC FUSE
-
Part No.: 3NA3812-7Y
Make : SIEMENS",,0853A0388,28-42 Days,,8536,18.00%,1,EA,EA,
,37.24,8 CONTACT BLOCK,"Short Description :
8 CONTACT BLOCK
-
Part No.: 3SB0400-OB
Make : SIEMENS",,0853A0417,28-42 Days,,8536,18.00%,1,EA,EA,
,1459,"SIEMENS CONTACTOR,110VAC,3TF3400-OAFO","Short Description :
SIEMENS CONTACTOR,110VAC,3TF3400-OAFO
===============================
Part No :
3TF4422/3TF3400-OAFO+2NO+2NC
Make :
SIEMENS
===============================
Additional Specification :
SIEMENS CONACTOR 32A,110VAC,
3TF4422/3TF3400-OAFO+2NOS 3TX4 010-2A+2NOS 3TX4 001-2A",,0244A0962,28-42 Days,,8536,18.00%,1,EA,EA,
,1648.801,",FlMENS CONTACTOR,220VAC,3TF3400-OAMO","Short Description :
SIEMENS CONTACTOR,220VAC,3TF3400-OAMO
===============================
Part No :
3TF4422/3TF3400-OAMO+2NO+2NC
Make :
SIEMENS
===============================
Additional Specification :
SIEMENS CONTACTOR,32A,220VAC,
3TF4422/3TF3400-OAMO+2NOS 3TX4 010-2A+2NOS 3TX4 001-2A",,0244A0961,28-42 Days,,8536,18.00%,1,EA,EA,
,2440,3 POLE 40A CONTACTOR,"Short Description :
3 POLE 40A CONTACTOR
-
Part No.: B40-30-00-200-240VAC
Make : ABB",,0244A0130,28-42 Days,,8536,18.00%,1,EA,EA,
,852.6,EXTENDED ROTARY HANDLE FOR NS100/160 MC,"Short Description :
EXTENDED ROTARY HANDLE FOR NS100/160 MCCB
-
Part No.: BTP29338
Make : MERLIN GERIN",,0256A0591,28-42 Days,,8536,18.00%,1,EA,EA,
,294.5488,ILLUMINATED PUSH BUTTOM,"Short Description :
ILLUMINATED PUSH BUTTOM
===============================
Part No :
M22-DL-R+M22-A+M22-LED-R
Make :
MOELLER
===============================",,0470A0173,28-42 Days,,8536,18.00%,1,EA,EA,
,836.92,MERLIN GERIN RCCB 25A-2 POLE 30 MA,"Short Description :
MERLIN GERIN RCCB 25A-2 POLE 30 MA
-
Part No.: 16201
Make : MERLIN GERIN",,0256A0255,28-42 Days,,8536,18.00%,1,EA,EA,
,466.48,"ILLUMINATED PUSH BUTTON,12-30V DC,RED.","Short Description :
ILLUMINATED PUSH BUTTON,12-30V DC,RED.
===============================
Part No :
M22DLR+M22A+M22CLED24R+M22CK10+M22CK01
Make :
MOELLER.
===============================
Additional Specification :
ILLUMINATED PUSH BUTTON,12-30V AC/DC,COLOUR:RED,WITH 2NO+2NC,SCREW LES
S CONNECTION.PART NO:M22-DL-R+M22-A+M22-CLED24R+M22-CK10+M22-CK01
===============================
Custom Clarification :
Item Description
ILLUMINATED PUSH BUTTON
Function of the Item
USED IN ELECTRICAL CIRCUITS
Material of Construction of the Item
SWITCH GEAR
Name of the Main Equipment where the Item is Used
OVEN MACHINES,(SCP,CTC & QUENCHING LOCO)
Function of the Main Equipment & Location of the Main Equipment
BATTERY OPERATION IN COKE PLANT BATTERY#8&9",,0470A0220,28-42 Days,,8536,18.00%,1,EA,EA,
,1264.2,MERLIN GERIN RCCB VIGI BLOCK 63A - 4 POL,"Short Description :
MERLIN GERIN RCCB VIGI BLOCK 63A - 4 POLE 100 MA
-
Part No.: 26644
Make : MERLIN GERIN",,0256A0300,28-42 Days,,8536,18.00%,1,EA,EA,
,324.8994,MERLIN GERIN MCB 3 POLE 25A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 25A C CURVE
-
Part No.: C60H3P25AC
Make : MERLIN GERIN",,0256A0237,28-42 Days,,8536,18.00%,1,EA,EA,
,344.1858,"MCB,2 POLE,40AMPS C CURVE","Short Description :
""MCB,2 POLE,40AMPS C CURVE""
-
Part No.: C60H2P40AC
Make : MERLIN GERIN",,0256A0132,28-42 Days,,8536,18.00%,1,EA,EA,
,321.6458,MERLIN GERIN MCB 3 POLE 16A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 16A C CURVE
-
Part No.: C60H3P16AC
Make : MERLIN GERIN",,0256A0235,28-42 Days,,8536,18.00%,1,EA,EA,
,185.955,2 HRC FUSE,"Short Description :
2 HRC FUSE
-
Part No.: 3NA3 822-7Y
Make : SIEMENS",,0853A0467,28-42 Days,,8536,18.00%,1,EA,EA,
,477.26,"AUX.CONTACTOR,220VAC,2NO+2NC","Short Description :
""AUX.CONTACTOR,220VAC,2NO+2NC""
-
Part No.: 3TH3022 OA
Make : SIEMENS",,0244A0483,28-42 Days,,8536,18.00%,1,EA,EA,
,1263,MERLIN GERIN RCCB 63A - 2 POLE 100 MA,"Short Description :
MERLIN GERIN RCCB 63A - 2 POLE 100 MA
-
Part No.: 16209
Make : MERLIN GERIN",,0256A0262,28-42 Days,,8536,18.00%,1,EA,EA,
,1195.6,MERLIN GERIN RCBO 10A C CURVE - 2 POLE 3,"Short Description :
MERLIN GERIN RCBO 10A C CURVE - 2 POLE 300 MA
-
Part No.: 19683
Make : MERLIN GERIN",,0256A0287,28-42 Days,,8536,18.00%,1,EA,EA,
,1205.4,MERLIN GERIN RCCB 63A - 4 POLE 30 MA,"Short Description :
MERLIN GERIN RCCB 63A - 4 POLE 30 MA
-
Part No.: 16258
Make : MERLIN GERIN",,0256A0276,28-42 Days,,8536,18.00%,1,EA,EA,
,137.2,MERLIN GERIN MCB 1POLE 1A C CURVE,"Short Description :
MERLIN GERIN MCB 1POLE 1A C CURVE
-
Part No.: C60HIP1AC
Make : MERLIN GERIN",,0256A0214,28-42 Days,,8536,18.00%,1,EA,EA,
,324.8994,MERLIN GERIN MCB 3 POLE 20A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 20A C CURVE
-
Part No.: C60H3P20AC
Make : MERLIN GERIN",,0256A0236,28-42 Days,,8536,18.00%,1,EA,EA,
,493.43,PUSH BUTTON IN ELECTRICAL CIRCUITS,"Short Description :
PUSH BUTTON STATION 2 UNIT
Make : SIEMENS",,0470A0088,28-42 Days,,8536,18.00%,1,EA,EA,
,376.32,"MCB,2 POLE,50AMPS C CURVE","Short Description :
""MCB,2 POLE,50AMPS C CURVE""
-
Part No.: C60H2P50AC
Make : MERLIN GERIN",,0256A0133,28-42 Days,,8536,18.00%,1,EA,EA,
,2193.24,"CONTACTOR,110VAC","Short Description :
""CONTACTOR,110VAC""
-
Part No.: 3TF4522-OAFO
Make : SIEMENS",,0244A0627,28-42 Days,,8536,18.00%,1,EA,EA,
,3381,DIGITAL TIME SUITCH TR 610/220V,"Short Description :
DIGITAL TIME SUITCH TR 610/220V
===============================
Part No :
TR610/22V
MAKE :
THEBEN",,0853A1072,28-42 Days,,8536,18.00%,1,EA,EA,
,1033.9,MERLIN GERIN RCCB 40A - 2 POLE 100 MA,"Short Description :
MERLIN GERIN RCCB 40A - 2 POLE 100 MA
-
Part No.: 16205
Make : MERLIN GERIN",,0256A0260,28-42 Days,,8536,18.00%,1,EA,EA,
,321.6458,MERLIN GERIN MCB 3 POLE 6A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 6A C CURVE
-
Part No.: C60H3P6AC
Make : MERLIN GERIN",,0256A0233,28-42 Days,,8536,18.00%,1,EA,EA,
,1053.5,MERLIN GERIN RCBO 25A C CURVE - 2 POLE 3,"Short Description :
MERLIN GERIN RCBO 25A C CURVE - 2 POLE 300 MA
-
Part No.: 19687
Make : MERLIN GERIN",,0256A0290,28-42 Days,,8536,18.00%,1,EA,EA,
,102.9,SELECTOR ACTUATOR WITH 3 POSITION MAINTA,"Short Description :
SELECTOR ACTUATOR WITH 3 POSITION MAINTAINED
-
Part No.: 3SB1200-2DB01
Make : SIEMENS",,0853A0455,28-42 Days,,8536,18.00%,1,EA,EA,
,571.34,MERLIN GERIN MCB 3 POLE 50A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 50A C CURVE
-
Part No.: C60H3P50AC
Make : MERLIN GERIN",,0256A0240,28-42 Days,,8536,18.00%,1,EA,EA,
,1063.3,MERLIN GERIN RCCB 40A - 4 POLE 100 MA,"Short Description :
MERLIN GERIN RCCB 40A - 4 POLE 100 MA
-
Part No.: 16255
Make : MERLIN GERIN",,0256A0261,28-42 Days,,8536,18.00%,1,EA,EA,
,112.7098,MERLIN GERIN MCB 1POLE 4A C CURVE,"Short Description :
MERLIN GERIN MCB 1POLE 4A C CURVE
-
Part No.: C60HIP4AC
Make : MERLIN GERIN",,0256A0217,28-42 Days,,8536,18.00%,1,EA,EA,
,798.7,AUX.BLOCK WITH 2NO+2NC,"Short Description :
AUX.BLOCK WITH 2NO+2NC
-
Part No.: 3TH3022-OBM4/2NO.2NC
Make : SIEMENS",,0853A0542,28-42 Days,,8536,18.00%,1,EA,EA,
,2753.8,"SIEMENS CONTACTOR,110VAC,3TF4602-OAFO","Short Description :
SIEMENS CONTACTOR,110VAC,3TF4602-OAFO
===============================
Part No :
3TF4602-OAFO+2NO+2NC
Make :
SIEMENS
===============================
Additional Specification :
SIEMENS CONTACTOR,53A,110VAC,
3TF4602-OAFO WITH 2NO+2NC AUX CONTACT",,0244A0983,28-42 Days,,8536,18.00%,1,EA,EA,
,3488,"""CONTACT, ELECTRICAL""","Short Description :
MAIN CONTACT SET FOR 3TF4822 CONTACTOR
Make : SIEMENS",,0248D0012,28-42 Days,,8536,18.00%,1,EA,EA,
,495.733,MERLIN GERIN MCB 3 POLE 40A C CURVE,"Short Description :
MERLIN GERIN MCB 3 POLE 40A C CURVE
-
Part No.: C60H3P40AC
Make : MERLIN GERIN",,0256A0239,28-42 Days,,8536,18.00%,1,EA,EA,
,1215.2,MERLIN GERIN RCCB 63A - 4 POLE 300 MA,"Short Description :
MERLIN GERIN RCCB 63A - 4 POLE 300 MA
-
Part No.: 16260
Make : MERLIN GERIN",,0256A0269,28-42 Days,,8536,18.00%,1,EA,EA,
,760.48,3 POLE 25A CONTACTOR,"Short Description :
3 POLE 25A CONTACTOR
-
Part No.: B25-30-10-200-240V AC
Make : ABB",,0244A0122,28-42 Days,,8536,18.00%,1,EA,EA,
,1450.6842,DOL STARTER-10A,"Short Description :
DOL STARTER-10A
-
Part No. : MB-10.0-415-440VAC
Make : ABB",,0469A0069,28-42 Days,,8536,18.00%,1,EA,EA,
,852.012,MCB 3P 100A C CURVE C120H3P100AC,"Short Description :
MCB 3P 100A C CURVE C120H3P100AC
-
Part No.: 18469
Make : MERLIN GERIN",,0256A1031,28-42 Days,,8536,18.00%,1,EA,EA,
,2499,PULL CORD SWITCH,"Short Description :
PULL CORD SWITCH
===============================
Part No :
SW4032H/C
Make :
JAYSHREE ELECTRONICS
===============================",,0713A0016,28-42 Days,,8536,18.00%,1,EA,EA,
,999.6,"""STARTER,ELECTRICAL,AIR BREAK""","Short Description :
STARTER,ELECTRICAL,AIR BREAK,DIRECT ON LINE,10 HORSE POWER,4
Technical Specification :
TYPE:DIRECT ON LINE
MOTOR CAPACITY : 10 WATT
NO.OF POLES : 3
OPERATING VOLTAGE : 415 VOLT
RATED CONTROL CIRCUIT VOLTAGE : 415 VOLT
NO.OF AUXILIARY CONTACTS(NO) : 2
O/L CURRENT RANGE (LOW VALUE) : 10 AMPERES
O/L CURRENT RANGE (HIGH VALUE) : 16 AMPERES
NO.OF AUXILIARY CONTACTS(NC) : 2",,0469A0007,28-42 Days,,8536,18.00%,1,EA,EA,
,1019.2,MERLIN GERIN RCCB 25A - 4 POLE 300 MA,"Short Description :
MERLIN GERIN RCCB 25A - 4 POLE 300 MA
-
Part No.: 16252
Make : MERLIN GERIN",,0256A0258,28-42 Days,,8536,18.00%,1,EA,EA,
,2006.06,3 POLE POWER MANUAL MOTOR STARTER-20.0A-,"Short Description :
3 POLE POWER MANUAL MOTOR STARTER-20.0A-25.0A
-
Part No. : MS325-25
Make : ABB",,0469A0063,28-42 Days,,8536,18.00%,1,EA,EA,
,1939.42,3 POLE POWER MANUAL MOTOR STARTER-16.0A-,"Short Description :
3 POLE POWER MANUAL MOTOR STARTER-16.0A-20.0A
-
Part No. : MS325-20
Make : ABB",,0469A0062,28-42 Days,,8536,18.00%,1,EA,EA,
,1341.1986,DOL STARTER-7.5A,"Short Description :
DOL STARTER-7.5A
-
Part No. : MB-7.50-415-440VAC
Make : ABB",,0469A0068,28-42 Days,,8536,18.00%,1,EA,EA,
,1624.595,3 POLE POWER MANUAL MOTOR STARTER-4.00A-,"Short Description :
3 POLE POWER MANUAL MOTOR STARTER-4.00A-6.30A
-
Part No. : MS325-6.30
Make : ABB",,0469A0058,28-42 Days,,8536,18.00%,1,EA,EA,
,36.26,ACTUATOR,"Short Description :
ACTUATOR
-
Part No.: 3SB1200-OADO1
Make : SIEMENS",,0853A0458,28-42 Days,,8536,18.00%,1,EA,EA,
,691,"SIZE 0,24VDC,4NO+4NC CONTACTOR","Short Description :
""SIZE 0,24VDC,4NO+4NC CONTACTOR""
-
Part No.: 3TH3022OBB4
Make : SIEMENS",,0244A0612,28-42 Days,,8536,18.00%,1,EA,EA,
,1683.64,3 POLE POWER MANUAL MOTOR STARTER-1.60A-,"Short Description :
3 POLE POWER MANUAL MOTOR STARTER-1.60A-2.50A
-
Part No. : MS325-2.50
Make : ABB",,0469A0056,28-42 Days,,8536,18.00%,1,EA,EA,
